cluster_count,repetitions,qa_minus_pooled_nll,ci95_low,ci95_high,bootstrap_tail_probability,sign_flip_repetitions,sign_flip_seed,sign_flip_p,geometry,holm_adjusted_p
26,2000,-0.1216132347100217,-0.1470905509921048,-0.0920594395230053,0.0,20000,20260804,4.999750012499375e-05,uniform,9.99950002499875e-05
26,2000,-0.12397011944697882,-0.15267485107381334,-0.09556037439151008,0.0,20000,20260805,4.999750012499375e-05,azimuth_sector,9.99950002499875e-05
