geometry,lidar_drop_rate,mmwave_drop_rate,fusion_accuracy,fusion_accuracy,fusion_accuracy,lidar_only_accuracy,lidar_only_accuracy,lidar_only_accuracy,mmwave_only_accuracy,mmwave_only_accuracy,mmwave_only_accuracy,fusion_minus_best_unimodal_accuracy,fusion_minus_best_unimodal_accuracy,fusion_minus_best_unimodal_accuracy,fusion_macro_f1,fusion_macro_f1,fusion_macro_f1,lidar_only_macro_f1,lidar_only_macro_f1,lidar_only_macro_f1,mmwave_only_macro_f1,mmwave_only_macro_f1,mmwave_only_macro_f1,fusion_minus_best_unimodal_macro_f1,fusion_minus_best_unimodal_macro_f1,fusion_minus_best_unimodal_macro_f1,fusion_nll,fusion_nll,fusion_nll,lidar_only_nll,lidar_only_nll,lidar_only_nll,mmwave_only_nll,mmwave_only_nll,mmwave_only_nll,fusion_minus_best_unimodal_nll,fusion_minus_best_unimodal_nll,fusion_minus_best_unimodal_nll,fusion_brier,fusion_brier,fusion_brier,lidar_only_brier,lidar_only_brier,lidar_only_brier,mmwave_only_brier,mmwave_only_brier,mmwave_only_brier,fusion_minus_best_unimodal_brier,fusion_minus_best_unimodal_brier,fusion_minus_best_unimodal_brier,fusion_ece,fusion_ece,fusion_ece,lidar_only_ece,lidar_only_ece,lidar_only_ece,mmwave_only_ece,mmwave_only_ece,mmwave_only_ece,fusion_minus_best_unimodal_ece,fusion_minus_best_unimodal_ece,fusion_minus_best_unimodal_ece,fusion_adaptive_ece,fusion_adaptive_ece,fusion_adaptive_ece,lidar_only_adaptive_ece,lidar_only_adaptive_ece,lidar_only_adaptive_ece,mmwave_only_adaptive_ece,mmwave_only_adaptive_ece,mmwave_only_adaptive_ece,fusion_minus_best_unimodal_adaptive_ece,fusion_minus_best_unimodal_adaptive_ece,fusion_minus_best_unimodal_adaptive_ece,fusion_aurc,fusion_aurc,fusion_aurc,lidar_only_aurc,lidar_only_aurc,lidar_only_aurc,mmwave_only_aurc,mmwave_only_aurc,mmwave_only_aurc,fusion_minus_best_unimodal_aurc,fusion_minus_best_unimodal_aurc,fusion_minus_best_unimodal_aurc
,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
azimuth_sector,0.0,0.25,0.8401827788090819,0.0009109888852055321,5,0.6218763387119806,0.0,5,0.698700556904184,0.0011600797379174564,5,0.1414822219048979,0.0012587120303320636,5,0.8863935262692484,0.0009035645813800712,5,0.7005091843673046,0.0,5,0.7732736163079115,0.000879271920017899,5,0.11311990996133695,0.001167154266949016,5,0.5624200347925147,0.006421260858574283,5,1.314630420555179,0.0,5,1.2633818538322636,0.008846216774984914,5,-0.7009618190397489,0.004939043731439655,5,0.23526480843881056,0.002200076848679876,5,0.4987634856294889,0.0,5,0.45203445331851533,0.002720031149649647,5,-0.21676964487970474,0.0027624813378353294,5,0.06305157385224613,0.0011826383242073627,5,0.0994930204832145,0.0,5,0.15693920940082215,0.0019336587875573464,5,-0.03644144663096836,0.0011826383242073656,5,0.06306006694859552,0.0011764984820993463,5,0.0997727980512162,0.0,5,0.15693141086649037,0.0019446768877319383,5,-0.036712731102620674,0.0011764984820993426,5,0.0305557526084901,0.0004882989744644826,5,0.1374261921759114,0.0,5,0.09892232487134674,0.0009127777507110637,5,-0.06836657226285664,0.0008050170178451225,5
azimuth_sector,0.0,0.5,0.6974439525917464,0.003011268203476831,5,0.6218763387119806,0.0,5,0.4159360274168213,0.002240577125964225,5,0.07556761387976582,0.0030112682034768535,5,0.7809557009239995,0.0026180394270900425,5,0.7005091843673046,0.0,5,0.5302363241717434,0.0023355269828111433,5,0.08044651655669485,0.0026180394270900443,5,1.2910518022870827,0.014880682421166573,5,1.314630420555179,0.0,5,3.154780709305811,0.02675615892561255,5,-0.02357861826809642,0.014880682421166544,5,0.455190448877351,0.0040060012829786626,5,0.4987634856294889,0.0,5,0.9108839588114014,0.004025893013959183,5,-0.043573036752137875,0.0040060012829786695,5,0.14982024624306367,0.002197561454728202,5,0.0994930204832145,0.0,5,0.3681094169449864,0.0017516362782875917,5,0.05032722575984918,0.0021975614547282032,5,0.14982024624306364,0.0021975614547282167,5,0.0997727980512162,0.0,5,0.36810941694498645,0.0017516362782875783,5,0.05004744819184746,0.0021975614547282115,5,0.1149651806373343,0.002215809456278819,5,0.1374261921759114,0.0,5,0.4030957132153194,0.0036578159864867855,5,-0.022461011538577103,0.00221580945627882,5
azimuth_sector,0.0,0.75,0.4855918891903469,0.004415836160737981,5,0.6218763387119806,0.0,5,0.09504498072254743,0.002736694616230628,5,-0.1362844495216336,0.004415836160737987,5,0.5892182834790157,0.0044021553652001146,5,0.7005091843673046,0.0,5,0.1341689013922141,0.0035107502782208235,5,-0.11129090088828889,0.004402155365200085,5,2.689331949894866,0.021713519540163945,5,1.314630420555179,0.0,5,6.744267380554438,0.0395604833246371,5,1.3747015293396871,0.021713519540163945,5,0.8039207370872438,0.00647443159926405,5,0.4987634856294889,0.0,5,1.4787803085419489,0.006169401531548642,5,0.30515725145775485,0.0064744315992640526,5,0.30275428483490574,0.004316721559554836,5,0.0994930204832145,0.0,5,0.6599415495271681,0.003707156127646995,5,0.2032612643516912,0.004316721559554841,5,0.3026800464486432,0.004383514271149355,5,0.0997727980512162,0.0,5,0.6599362690624044,0.00370222834698371,5,0.20290724839742708,0.004383514271149358,5,0.36494127828741496,0.003901707722295827,5,0.1374261921759114,0.0,5,0.8965827612277273,0.00456992674303436,5,0.22751508611150353,0.0039017077222958346,5
azimuth_sector,0.0,0.9,0.4261316578609168,0.0027622804214771993,5,0.6218763387119806,0.0,5,0.035184920748250706,0.0012875412341967468,5,-0.19574468085106383,0.002762280421477191,5,0.5273975786058241,0.0022222114385756636,5,0.7005091843673046,0.0,5,0.05591236011082816,0.0017427074674046354,5,-0.17311160576148044,0.0022222114385756606,5,3.0717009629336163,0.014760907775093235,5,1.314630420555179,0.0,5,8.028535336334135,0.02682406554610013,5,1.7570705423784372,0.014760907775093217,5,0.8775629564206129,0.004651348558687439,5,0.4987634856294889,0.0,5,1.563696980904355,0.0043456606711492814,5,0.3787994707911241,0.004651348558687416,5,0.32774025307746396,0.0025953831032616806,5,0.0994930204832145,0.0,5,0.7006901705477132,0.0028990643637026156,5,0.22824723259424945,0.0025953831032616754,5,0.32774025307746396,0.0025953831032616303,5,0.0997727980512162,0.0,5,0.7006901705477132,0.002899064363702574,5,0.22796745502624777,0.0025953831032616316,5,0.41314754113390084,0.00318138155290942,5,0.1374261921759114,0.0,5,0.966128279711253,0.001968530107770051,5,0.2757213489579894,0.003181381552909431,5
azimuth_sector,0.25,0.0,0.8570612594602313,0.0024712363701095016,5,0.5584463801228046,0.004919107854433432,5,0.8316435813222904,0.0,5,0.02541767813794089,0.002471236370109492,5,0.8890086029564704,0.0024085538131466636,5,0.6215204646322201,0.004701532767564613,5,0.8735755102947381,0.0,5,0.015433092661732362,0.002408553813146678,5,0.5189754515573461,0.009247256860742655,5,1.9965396182966721,0.013512032834161272,5,0.6339626374284045,0.0,5,-0.11498718587105845,0.009247256860742637,5,0.2099757789585162,0.004016091994921481,5,0.6280093001330543,0.007883297458750644,5,0.24778037940802894,0.0,5,-0.03780460044951271,0.004016091994921476,5,0.061457951561241966,0.002754789921039541,5,0.2014709258966867,0.006067604940385822,5,0.0833239119307008,0.0,5,-0.021865960369458835,0.002754789921039542,5,0.061617141785483345,0.0027159187565709312,5,0.2014709258966867,0.00606760494038582,5,0.0833500112753375,0.0,5,-0.021732869489854163,0.0027159187565709304,5,0.021865073214883603,0.0007564953754283828,5,0.20336941704353767,0.005075117856166289,5,0.0301259455871671,0.0,5,-0.008260872372283502,0.0007564953754283834,5
azimuth_sector,0.25,0.25,0.7648436384406683,0.0031470230610493944,5,0.5584463801228046,0.004919107854433432,5,0.698700556904184,0.0011600797379174564,5,0.06614308153648436,0.00371598838939293,5,0.8070542214334668,0.002749781365520571,5,0.6215204646322201,0.004701532767564613,5,0.7732736163079115,0.000879271920017899,5,0.03378060512555543,0.0031721259260684533,5,0.9018305701038395,0.011167937682564166,5,1.9965396182966721,0.013512032834161272,5,1.2633818538322636,0.008846216774984914,5,-0.361551283728424,0.012701671743265194,5,0.34219629993389783,0.00472986854830865,5,0.6280093001330543,0.007883297458750644,5,0.45203445331851533,0.002720031149649647,5,-0.10983815338461747,0.005465468411117144,5,0.10411098743617087,0.0037700182229768804,5,0.2014709258966867,0.006067604940385822,5,0.15693920940082215,0.0019336587875573464,5,-0.0528282219646513,0.004055230591261334,5,0.10412951944905617,0.0037749076074257734,5,0.2014709258966867,0.00606760494038582,5,0.15693141086649037,0.0019446768877319383,5,-0.0528018914174342,0.004058433745210523,5,0.05711353631749004,0.001591610626887343,5,0.20336941704353767,0.005075117856166289,5,0.09892232487134674,0.0009127777507110637,5,-0.0418087885538567,0.0014352001348586479,5
azimuth_sector,0.25,0.5,0.6014850778237898,0.0054162786020792095,5,0.5584463801228046,0.004919107854433432,5,0.4159360274168213,0.002240577125964225,5,0.04303869770098527,0.0008363016115576887,5,0.6549063858824814,0.006324248171782245,5,0.6215204646322201,0.004701532767564613,5,0.5302363241717434,0.0023355269828111433,5,0.03338592125026132,0.00204178483669886,5,1.744749125206394,0.017545907292061385,5,1.9965396182966721,0.013512032834161272,5,3.154780709305811,0.02675615892561255,5,-0.251790493090278,0.01055893853595123,5,0.5861491524963808,0.008470920500895282,5,0.6280093001330543,0.007883297458750644,5,0.9108839588114014,0.004025893013959183,5,-0.04186014763667356,0.0030924056207040904,5,0.20620909477262703,0.004928827964634167,5,0.2014709258966867,0.006067604940385822,5,0.3681094169449864,0.0017516362782875917,5,0.004738168875940319,0.0021583919479774803,5,0.206147567533376,0.004870939677108797,5,0.2014709258966867,0.00606760494038582,5,0.36810941694498645,0.0017516362782875783,5,0.004676641636689333,0.002123576524781443,5,0.16757479456992633,0.004939323101457886,5,0.20336941704353767,0.005075117856166289,5,0.4030957132153194,0.0036578159864867855,5,-0.03579462247361135,0.0006203067138985519,5
azimuth_sector,0.25,0.75,0.4023418534913608,0.003933503444055684,5,0.5584463801228046,0.004919107854433432,5,0.09504498072254743,0.002736694616230628,5,-0.15610452663144372,0.001919530202930894,5,0.4413465759433547,0.004887128055626439,5,0.6215204646322201,0.004701532767564613,5,0.1341689013922141,0.0035107502782208235,5,-0.18017388868886539,0.003130899882354307,5,3.0972813046226406,0.027469922655475765,5,1.9965396182966721,0.013512032834161272,5,6.744267380554438,0.0395604833246371,5,1.100741686325969,0.02750004686869656,5,0.9008027225522486,0.008588336289952769,5,0.6280093001330543,0.007883297458750644,5,1.4787803085419489,0.006169401531548642,5,0.27279342241919435,0.003546446733325149,5,0.34837259024055695,0.0056032243207237865,5,0.2014709258966867,0.006067604940385822,5,0.6599415495271681,0.003707156127646995,5,0.14690166434387025,0.0027110614409632397,5,0.34837259024055695,0.005603224320723776,5,0.2014709258966867,0.00606760494038582,5,0.6599362690624044,0.00370222834698371,5,0.14690166434387025,0.0027110614409632714,5,0.40526657697757473,0.006557264644633549,5,0.20336941704353767,0.005075117856166289,5,0.8965827612277273,0.00456992674303436,5,0.20189715993403703,0.0028074189743941412,5
azimuth_sector,0.25,0.9,0.3495930315579037,0.004050726063150709,5,0.5584463801228046,0.004919107854433432,5,0.035184920748250706,0.0012875412341967468,5,-0.20885334856490081,0.005567760189666582,5,0.38464625308020467,0.005901737955722411,5,0.6215204646322201,0.004701532767564613,5,0.05591236011082816,0.0017427074674046354,5,-0.23687421155201543,0.006155913901400859,5,3.523090163500406,0.022159287457647,5,1.9965396182966721,0.013512032834161272,5,8.028535336334135,0.02682406554610013,5,1.5265505452037342,0.019736097303512928,5,0.9716886933903014,0.005118640354197147,5,0.6280093001330543,0.007883297458750644,5,1.563696980904355,0.0043456606711492814,5,0.34367939325724706,0.006039449077378174,5,0.3725656848933645,0.005741796704078423,5,0.2014709258966867,0.006067604940385822,5,0.7006901705477132,0.0028990643637026156,5,0.17109475899667778,0.006139839803591277,5,0.3725656848933645,0.005741796704078368,5,0.2014709258966867,0.00606760494038582,5,0.7006901705477132,0.002899064363702574,5,0.17109475899667778,0.006139839803591259,5,0.4700335644763066,0.0036501793337149102,5,0.20336941704353767,0.005075117856166289,5,0.966128279711253,0.001968530107770051,5,0.26666414743276895,0.002462432872958517,5
