,,,,,accuracy,accuracy,accuracy,macro_f1,macro_f1,macro_f1,nll,nll,nll,brier,brier,brier,ece,ece,ece,adaptive_ece,adaptive_ece,adaptive_ece,aurc,aurc,aurc
,,,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
mask_name,geometry,lidar_drop_rate,mmwave_drop_rate,method,,,,,,,,,,,,,,,,,,,,,
lidar_mmwave,azimuth_sector,0.0,0.25,clean_global_ts,0.8401827788090819,0.0009109888852055321,5,0.8863935262692484,0.0009035645813800712,5,0.5193785798317133,0.005133685145896099,5,0.2261791398470741,0.002096293004951857,5,0.03207710627644268,0.0011707802060003324,5,0.032106006136518844,0.0012362656086969907,5,0.030076206489927686,0.0005051549757883853,5
lidar_mmwave,azimuth_sector,0.0,0.25,pooled_global_ts,0.8401827788090819,0.0009109888852055321,5,0.8863935262692484,0.0009035645813800712,5,0.7196098070098588,0.002401575072762834,5,0.2781210535621117,0.000912937846751952,5,0.20817505621085072,0.001190171367834485,5,0.20789248730781212,0.0011025248981676586,5,0.029371770398418245,0.0005427970697505595,5
lidar_mmwave,azimuth_sector,0.0,0.25,quality_aware_ts,0.8401827788090819,0.0009109888852055321,5,0.8863935262692484,0.0009035645813800712,5,0.5466554870905853,0.005094427167370453,5,0.2260234661215273,0.0016942012941572634,5,0.03329731112039752,0.0013802374252142053,5,0.033047832520628394,0.002239528904481277,5,0.02989994587150948,0.00027163700717989007,5
lidar_mmwave,azimuth_sector,0.0,0.25,severity_oracle_ts,0.8401827788090819,0.0009109888852055321,5,0.8863935262692484,0.0009035645813800712,5,0.5130511721800749,0.00462648070842081,5,0.22379051833654526,0.0019901447363941806,5,0.01598717513244195,0.0009097884209734708,5,0.017002997738602553,0.0007708268215333536,5,0.02988489535201791,0.000509145748480488,5
lidar_mmwave,azimuth_sector,0.0,0.25,uncalibrated,0.8401827788090819,0.0009109888852055321,5,0.8863935262692484,0.0009035645813800712,5,0.5624200347925147,0.006421260858574283,5,0.23526480843881062,0.0022000768486798625,5,0.06305157385224618,0.0011826383242073651,5,0.06306006694859556,0.0011764984820993624,5,0.030555752608490166,0.0004882989744644879,5
lidar_mmwave,azimuth_sector,0.0,0.5,clean_global_ts,0.6974439525917464,0.003011268203476831,5,0.7809557009239995,0.0026180394270900425,5,1.1395260791847046,0.012574695873826454,5,0.43422196015258424,0.003955787632745656,5,0.10274871083946586,0.0020793976492900247,5,0.10262244086307397,0.002101439054054586,5,0.11348978650027156,0.0022247116963121736,5
lidar_mmwave,azimuth_sector,0.0,0.5,pooled_global_ts,0.6974439525917464,0.003011268203476831,5,0.7809557009239995,0.0026180394270900425,5,1.1907791706872277,0.007896520078063561,5,0.4577210151899034,0.00307142391084408,5,0.18187944369802575,0.0020214750446670526,5,0.18168602226952252,0.0019736605435766294,5,0.11019588337578794,0.0024126484061402905,5
lidar_mmwave,azimuth_sector,0.0,0.5,quality_aware_ts,0.6974439525917464,0.003011268203476831,5,0.7809557009239995,0.0026180394270900425,5,1.0828346129942472,0.010300288299746508,5,0.421526207491919,0.003811634865193517,5,0.05011313090147799,0.0012884101434685385,5,0.0496091600636224,0.0016004574997881007,5,0.10925479641679918,0.001873053144065208,5
lidar_mmwave,azimuth_sector,0.0,0.5,severity_oracle_ts,0.6974439525917464,0.003011268203476831,5,0.7809557009239995,0.0026180394270900425,5,1.0572857250215226,0.010006730150715546,5,0.4172346040549219,0.0038325167447999246,5,0.014428982358381906,0.005358706222474851,5,0.011448932113791343,0.0025265442736470433,5,0.11145231499033628,0.0023208994831513874,5
lidar_mmwave,azimuth_sector,0.0,0.5,uncalibrated,0.6974439525917464,0.003011268203476831,5,0.7809557009239995,0.0026180394270900425,5,1.2910518022870827,0.014880682421166469,5,0.4551904488773511,0.004006001282978661,5,0.1498202462430637,0.00219756145472819,5,0.14982024624306373,0.0021975614547281807,5,0.11496518063733432,0.002215809456278805,5
lidar_mmwave,azimuth_sector,0.0,0.75,clean_global_ts,0.485591889190347,0.0044158361607379935,5,0.5892182834790157,0.0044021553652001146,5,2.295274210185729,0.017104998988024665,5,0.7635271083223902,0.0056496351313732145,5,0.24059601955877033,0.004350901902469358,5,0.24059601955877033,0.004350901902469324,5,0.36263884171153626,0.003949310421621057,5
lidar_mmwave,azimuth_sector,0.0,0.75,pooled_global_ts,0.485591889190347,0.0044158361607379935,5,0.5892182834790157,0.0044021553652001146,5,1.9063096478657933,0.008853537777335371,5,0.6968024315221327,0.002928764743029694,5,0.07107524132268246,0.0036202863340479906,5,0.07098855494265097,0.0037140850045409802,5,0.3569107049356283,0.004183103723141049,5
lidar_mmwave,azimuth_sector,0.0,0.75,quality_aware_ts,0.485591889190347,0.0044158361607379935,5,0.5892182834790157,0.0044021553652001146,5,1.9304135774751412,0.008991011668858056,5,0.704313721239696,0.0027745074032997884,5,0.08844879082237607,0.00509809393555669,5,0.08801218413061149,0.004729588064345907,5,0.37064099881090795,0.003297724296483198,5
lidar_mmwave,azimuth_sector,0.0,0.75,severity_oracle_ts,0.485591889190347,0.0044158361607379935,5,0.5892182834790157,0.0044021553652001146,5,1.8926795571499562,0.00958782636262861,5,0.6930871055909469,0.0032360917338663223,5,0.05011565475158365,0.002499874140401227,5,0.04964185223524435,0.004126284434506213,5,0.3572738869146449,0.0041496726660330404,5
lidar_mmwave,azimuth_sector,0.0,0.75,uncalibrated,0.485591889190347,0.0044158361607379935,5,0.5892182834790157,0.0044021553652001146,5,2.689331949894866,0.021713519540163925,5,0.8039207370872438,0.00647443159926405,5,0.30275428483490574,0.004316721559554832,5,0.30268004644864327,0.004383514271149372,5,0.36494127828741496,0.003901707722295811,5
lidar_mmwave,azimuth_sector,0.0,0.9,clean_global_ts,0.4261316578609168,0.0027622804214771667,5,0.5273975786058241,0.0022222114385756636,5,2.625473730063413,0.011652563083109786,5,0.8294159263493324,0.004194922965403555,5,0.2590118735918434,0.0028224193723586292,5,0.2590118735918434,0.0028224193723586045,5,0.411235051456441,0.0031673962168998694,5
