geometry,lidar_drop_rate,mmwave_drop_rate,pooled_accuracy,pooled_accuracy,pooled_accuracy,quality_aware_accuracy,quality_aware_accuracy,quality_aware_accuracy,quality_minus_pooled_accuracy,quality_minus_pooled_accuracy,quality_minus_pooled_accuracy,pooled_macro_f1,pooled_macro_f1,pooled_macro_f1,quality_aware_macro_f1,quality_aware_macro_f1,quality_aware_macro_f1,quality_minus_pooled_macro_f1,quality_minus_pooled_macro_f1,quality_minus_pooled_macro_f1,pooled_nll,pooled_nll,pooled_nll,quality_aware_nll,quality_aware_nll,quality_aware_nll,quality_minus_pooled_nll,quality_minus_pooled_nll,quality_minus_pooled_nll,pooled_brier,pooled_brier,pooled_brier,quality_aware_brier,quality_aware_brier,quality_aware_brier,quality_minus_pooled_brier,quality_minus_pooled_brier,quality_minus_pooled_brier,pooled_ece,pooled_ece,pooled_ece,quality_aware_ece,quality_aware_ece,quality_aware_ece,quality_minus_pooled_ece,quality_minus_pooled_ece,quality_minus_pooled_ece,pooled_adaptive_ece,pooled_adaptive_ece,pooled_adaptive_ece,quality_aware_adaptive_ece,quality_aware_adaptive_ece,quality_aware_adaptive_ece,quality_minus_pooled_adaptive_ece,quality_minus_pooled_adaptive_ece,quality_minus_pooled_adaptive_ece,pooled_aurc,pooled_aurc,pooled_aurc,quality_aware_aurc,quality_aware_aurc,quality_aware_aurc,quality_minus_pooled_aurc,quality_minus_pooled_aurc,quality_minus_pooled_aurc
,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
azimuth_sector,0.0,0.25,0.8401827788090819,0.0009109888852055321,5,0.8401827788090819,0.0009109888852055321,5,0.0,0.0,5,0.8863935262692484,0.0009035645813800712,5,0.8863935262692484,0.0009035645813800712,5,0.0,0.0,5,0.7196098070098588,0.002401575072762834,5,0.5466554870905853,0.005094427167370453,5,-0.1729543199192734,0.004462704304864179,5,0.2781210535621117,0.0009129378467519489,5,0.22602346612152724,0.0016942012941572706,5,-0.05209758744058444,0.0008060720772859626,5,0.2081750562108507,0.0011901713678345008,5,0.0332973111203975,0.0013802374252142066,5,-0.17487774509045317,0.002013574517644244,5,0.20789248730781207,0.0011025248981676556,5,0.03304783252062834,0.002239528904481281,5,-0.17484465478718375,0.0031171123034057957,5,0.0293717703984182,0.0005427970697505711,5,0.02989994587150942,0.00027163700717989397,5,0.0005281754730912192,0.0003613513922817253,5
azimuth_sector,0.0,0.5,0.6974439525917464,0.003011268203476831,5,0.6974439525917464,0.003011268203476831,5,0.0,0.0,5,0.7809557009239995,0.0026180394270900425,5,0.7809557009239995,0.0026180394270900425,5,0.0,0.0,5,1.1907791706872277,0.007896520078063561,5,1.0828346129942472,0.01030028829974646,5,-0.10794455769298046,0.003394238464845473,5,0.45772101518990327,0.0030714239108440736,5,0.421526207491919,0.003811634865193496,5,-0.03619480769798435,0.0010426516875188792,5,0.18187944369802572,0.0020214750446670487,5,0.05011313090147794,0.001288410143468545,5,-0.13176631279654777,0.002434404320826062,5,0.18168602226952246,0.001973660543576621,5,0.049609160063622336,0.0016004574997881005,5,-0.13207686220590012,0.002165884428211726,5,0.1101958833757879,0.002412648406140307,5,0.10925479641679914,0.0018730531440652076,5,-0.00094108695898876,0.0006562315412045858,5
azimuth_sector,0.0,0.75,0.4855918891903469,0.004415836160737981,5,0.4855918891903469,0.004415836160737981,5,0.0,0.0,5,0.5892182834790157,0.0044021553652001146,5,0.5892182834790157,0.0044021553652001146,5,0.0,0.0,5,1.9063096478657928,0.00885353777733544,5,1.9304135774751412,0.00899101166885809,5,0.024103929609348106,0.0024149757839181914,5,0.6968024315221327,0.002928764743029694,5,0.704313721239696,0.0027745074032997884,5,0.007511289717563341,0.0005134041812135097,5,0.0710752413226824,0.003620286334048003,5,0.08844879082237603,0.005098093935556675,5,0.017373549499693615,0.004212640673626524,5,0.07098855494265094,0.003714085004540965,5,0.08801218413061143,0.004729588064345902,5,0.0170236291879605,0.003350343124385691,5,0.3569107049356283,0.004183103723141028,5,0.37064099881090795,0.0032977242964831958,5,0.013730293875279631,0.001151013301589989,5
azimuth_sector,0.0,0.9,0.4261316578609168,0.0027622804214771993,5,0.4261316578609168,0.0027622804214771993,5,0.0,0.0,5,0.5273975786058241,0.0022222114385756636,5,0.5273975786058241,0.0022222114385756636,5,0.0,0.0,5,2.145324614839075,0.005198783361039077,5,2.239907763980978,0.0036917625902822535,5,0.09458314914190309,0.0018876309770997901,5,0.7477118675268912,0.0018794130438827953,5,0.7811967181349968,0.0009644612713456533,5,0.03348485060810562,0.0010033463834593845,5,0.053066403512379276,0.003088250884127059,5,0.161853177857036,0.0029970434689267455,5,0.10878677434465674,0.0015991965741438605,5,0.052248060287946665,0.0027796064767344818,5,0.15836792710180683,0.0026712999778095536,5,0.10611986681386017,0.0004891338217911124,5,0.40749001086814013,0.0030498133644202754,5,0.4332114359949902,0.0028275894268964905,5,0.02572142512685005,0.00218700778704459,5
azimuth_sector,0.25,0.0,0.8570612594602313,0.0024712363701095016,5,0.8570612594602313,0.0024712363701095016,5,0.0,0.0,5,0.8890086029564704,0.0024085538131466636,5,0.8890086029564704,0.0024085538131466636,5,0.0,0.0,5,0.6350220251161853,0.003786329628927005,5,0.5022846107120478,0.008594334767676112,5,-0.1327374144041375,0.005214254352075314,5,0.24109590294905744,0.0022022737821119995,5,0.20162671588465778,0.0043314782199996805,5,-0.03946918706439967,0.0021855061145609873,5,0.18594744286932988,0.0023265912435626985,5,0.03947973978584042,0.0027718961833297744,5,-0.14646770308348947,0.005076587573712577,5,0.18573236489684744,0.002139561808867475,5,0.03900483357318232,0.0029645259636507915,5,-0.14672753132366512,0.005076539276998508,5,0.02147590984714918,0.0008644242864144586,5,0.022578060666669057,0.0007270378575611981,5,0.00110215081951988,0.0003975098243754044,5
azimuth_sector,0.25,0.25,0.7648436384406683,0.0031470230610493944,5,0.7648436384406683,0.0031470230610493944,5,0.0,0.0,5,0.8070542214334668,0.002749781365520571,5,0.8070542214334668,0.002749781365520571,5,0.0,0.0,5,0.9366091261513484,0.004097598785196511,5,0.787980298196939,0.011214556180538418,5,-0.1486288279544093,0.0071565752796798965,5,0.3606959041738471,0.002077299899146968,5,0.3151567616812607,0.004459635819695275,5,-0.045539142492586414,0.002593200412043737,5,0.18798228382946053,0.003525276904644594,5,0.03722968687975686,0.003514263689015896,5,-0.15075259694970367,0.006988009346862623,5,0.18758213605539498,0.00314914625798923,5,0.03709972426198678,0.0036210506672362205,5,-0.1504824117934082,0.006743560441568938,5,0.05601524652533176,0.0015716661264530587,5,0.05478524197581878,0.0018144808914069722,5,-0.001230004549512978,0.00043043945187129707,5
azimuth_sector,0.25,0.5,0.6014850778237898,0.0054162786020792095,5,0.6014850778237898,0.0054162786020792095,5,0.0,0.0,5,0.6549063858824814,0.006324248171782245,5,0.6549063858824814,0.006324248171782245,5,0.0,0.0,5,1.4393954422531967,0.007842145293312307,5,1.349459604856903,0.012872429057143687,5,-0.08993583739629396,0.006747174437588958,5,0.539561020774048,0.0038772964341536147,5,0.5115880586165656,0.006111677051211396,5,-0.02797296215748246,0.0026854212039826774,5,0.13136344992129295,0.004997660266251125,5,0.036595281874563464,0.004001758797061221,5,-0.0947681680467295,0.008705370207002355,5,0.13183630021575793,0.0059582785646221485,5,0.03651971810741108,0.0047347452814320385,5,-0.09531658210834684,0.0103788189024629,5,0.16150558138866727,0.004589577963444494,5,0.15670967383168927,0.0046512187311266405,5,-0.004795907556978019,0.0012899245924815415,5
azimuth_sector,0.25,0.75,0.4023418534913608,0.003933503444055684,5,0.4023418534913608,0.003933503444055684,5,0.0,0.0,5,0.4413465759433547,0.004887128055626439,5,0.4413465759433547,0.004887128055626439,5,0.0,0.0,5,2.111307331777892,0.010710226820132594,5,2.0996164112236775,0.011349187425782245,5,-0.011690920554214657,0.003903888518699841,5,0.7426914886139354,0.0035213398599386377,5,0.7383950533714209,0.003888310630289499,5,-0.004296435242514529,0.0011707567485648173,5,0.029457831417846803,0.0048743288243258305,5,0.02139510434744856,0.004897830371431733,5,-0.00806272707039824,0.0027711948160789113,5,0.03352253230605236,0.004596597303731509,5,0.0236942423847804,0.0038899445583147436,5,-0.00982828992127196,0.0036278242212077383,5,0.3913483383780623,0.006694799979533873,5,0.3856797515366471,0.0064045547436239825,5,-0.0056685868414152575,0.002742401496860128,5
azimuth_sector,0.25,0.9,0.3495930315579037,0.004050726063150709,5,0.3495930315579037,0.004050726063150709,5,0.0,0.0,5,0.38464625308020467,0.005901737955722411,5,0.38464625308020467,0.005901737955722411,5,0.0,0.0,5,2.3419005777836857,0.006672456239506253,5,2.402551992599907,0.006412331776325793,5,0.06065141481622112,0.0017451795234516123,5,0.7922879802641717,0.0023379876419384127,5,0.8145170161819122,0.0016981735616472076,5,0.022229035917740437,0.0009853441805743799,5,0.02650592273030224,0.006207671100334275,5,0.12495143467113065,0.004477346465297406,5,0.09844551194082843,0.00969343479405399,5,0.0280786770594533,0.00374195664631454,5,0.12929152680960357,0.004364224950815213,5,0.10121284975015025,0.006618458423957517,5,0.45731183500143846,0.005152803062187237,5,0.45210785730111924,0.005899173072118115,5,-0.005203977700319229,0.0019029312449583748,5
